caption,display_url,likes,short_code,post_year,post_month
New on Costco.com. See more in our story.,https://instagram.fhio3-1.fna.fbcdn.net/v/t51.29350-15/103928417_113616863532650_901312778900490173_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&_nc_ht=instagram.fhio3-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2AFRecUDd-3BY5PorAdiBcWUX3bIi6XxCAw58uelW_QpmVNnwtGr1jNk_9uexI_pXJM&_nc_ohc=TBhCpV9IgVcQ7kNvgEwdPjB&_nc_gid=c9320ef3f7a34d98be800685bdf78308&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYCT2xEvHgE2YQv43XkkpC9EUg0h5EfgF-q6Jq1pIWVQGA&oe=67B83E1C&_nc_sid=d885a2,2036.0,CBWnVulDNgA,2020,6
Next stop? #Costco.,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/31433873_699889003735561_3839094433500889088_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2AGEFV6AdfF6bHAKthMua3A67bFXaXUEy9CVn2fm4ffVWkiLEtMaYmGva77EfFIdsrE&_nc_ohc=yoJ_vEw5WrkQ7kNvgHLHG5G&_nc_gid=ffa8aa404e604a0a833c40cf4982fa8e&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDNu5GbysdkzJKB-_AXBl7PLXMD-_dyOBYhiEqCmWawIQ&oe=67B84200&_nc_sid=d885a2,2357.0,BinROeqgFCD,2018,5
For the person on your list who already has everything: Share the joy of Costco and give the Gift of Membership.,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/15276538_814600042016584_8058240953837682688_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2AFqPhtaN5fQuh7JvNI2LeGmpawvS9tL_7IWDMwtgAIiaoOHIVSG3Gr1rkEGszaj7JtPnRIw_yrEhCIsZawGnQ1a&_nc_ohc=kiWQe3mnuY0Q7kNvgFo_Y1F&_nc_gid=ad05a89474d949da8429c8da4764b0ca&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDzzt1w8ctnqKgRZWgL4ePn7fzBL6oUbg_qLl17YDwX7w&oe=67B83A82&_nc_sid=d885a2,624.0,BNX9lwjhL0X,2016,11
That “I’m trying to sleep” look. 📸: @elsainfargo,https://instagram.fdtw2-1.fna.fbcdn.net/v/t51.2885-15/70897266_101829561213254_7419322108904124052_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&_nc_ht=instagram.fdtw2-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2AGIYU92JR3sCXqnUm_Cr1R0O8uiIs8rKnD0P-QHQMz27fiGbH2j2VlsLJIRtDJSXBA&_nc_ohc=LulT5w-NCHUQ7kNvgEEY1v5&_nc_gid=69c1f50719644efeb7d6ccd335a23584&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBIqPELV7S7mQ9E1H50LAbOe9qJaRHp-8Wr09jd7BOSHA&oe=67B84293&_nc_sid=d885a2,3561.0,B3m5bHMADcy,2019,10
Make a splash at the pool or the beach with this #FridayFind.,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/17933962_258911077903633_7637444298971021312_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2AFL87hYuAnebXeFWtze4GWUzMW33npgjV8BKC50PK817wHobz8iKRyjUQGO_CkB-2kFDTsgsYNrDH_SBjA2Xiwl&_nc_ohc=VcdCSEghiEsQ7kNvgGKDX9G&_nc_gid=6a85c6ea5ef8496a8bf75d5b50e8c10a&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDK6TYYRCxP5WeQ_sOHOuqdXNESPjvFupMmrLGU1Uuztw&oe=67B85083&_nc_sid=d885a2,455.0,BS4DIB2ADXf,2017,4
Add some fruit to your day with this #CostcoFind – $4 off through 2/28/21. 🍓🫐  Available at Costco and Costco.com: That’s It Mini Fruit Bars Variety Pack,https://scontent-det1-1.cdninstagram.com/v/t51.29350-15/155061221_453443662665106_6570021419384577289_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-det1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2AHtHzgdXgpn9FuTh9-dytXqveAiXEFg_KhhtqRlkBn-ikcQySl5ABFO_OxF2Mhz7WToFkgiX6RdeG9BkHdWfd9M&_nc_ohc=FDooV2GN3j4Q7kNvgGWn2PJ&_nc_gid=003fee15b19f42ceaa5f044c0c4cc13c&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYB4cFOIx1ALG3VnZb4iP2FmntkKe2bxxrJiE1lOFyd1yQ&oe=67B8324D&_nc_sid=d885a2,3636.0,CLukcSbBEBN,2021,2
When socks just won't do. We have a few gift ideas for him. 🎁,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/15403577_1358647120833314_2917358017571717120_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2AE8SLHwe9FRskmJDTfXroLqsADRx5Llue_NxWxm0qpvz1X0P7fhTWXP0raQi6GICgo&_nc_ohc=jVrRgNx_LbYQ7kNvgFcV7jl&_nc_gid=6b38d0b656d3455685446a3a5aa794be&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYD7Zzr3nAFp93HJBfUFRfbfIj15pGVRk64kXSzrs-S41w&oe=67B82DDE&_nc_sid=d885a2,298.0,BNxnEhehn1q,2016,12
"The Big Game deserves a big pizza! To order, call the Food Court at your nearest location. 🍕",https://instagram.ftpa1-2.fna.fbcdn.net/v/t51.2885-15/83938918_195648198221090_2227320110636962409_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.ftpa1-2.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2AFgd-LqjUSlR4FbFJXXAYKbYvFUOkRKiiUGfzukjdGy-TFOFu1QvKnSDgZfF61g9b9xHY_tppvEPPG13UbGhOqL&_nc_ohc=nYTLCQSUuDUQ7kNvgHNsaI-&_nc_gid=3841f82ad93f44518142a6b1ead3a0c3&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYB3jUdxf-0YvW7Lagl-FhiSeSuM-EuNjg8NFBjmWFzuRA&oe=67B83828&_nc_sid=d885a2,2346.0,B76K3i4Alq5,2020,1
Eat just one? Impossible.,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/38841719_210704096469413_8382523994141622272_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2AH_M3wZ4cDrjF-baq7OOTRAfRMIlJYYEOrUHuwfau3oxrybjiwp9cEdiMvoy4gOFkPFWLekal9HIXB_78o1-bgy&_nc_ohc=S1vlcEaFXmgQ7kNvgGg3BUK&_nc_gid=cd21d33355b944aa81a3507bf5b168d8&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYARKWRgNB75fKiCwuC96V2eLvAPerjBDkEHTlyuvjsJ3Q&oe=67B82427&_nc_sid=d885a2,551.0,BmuDRoHnKW3,2018,8
Who else is excited for this new #CostcoFind? Find the new Kirkland Signature™ Half-Dipped Dark Chocolate Pineapple Rings at the warehouse.,https://scontent-den2-1.cdninstagram.com/v/t51.2885-15/51719933_375933783203942_1473863131922511749_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-den2-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2AEoN4MICbXsBnP0ePPQ3BQs2kurtrMXnX17DvEP2zd3ETGQrwShg-auMiJKlZLNuoH1b2-OhMDcYp1kbai1vmeO&_nc_ohc=5ZyJLnpCLtQQ7kNvgHdq4Vh&_nc_gid=ad57b8ca2a2f469b8680c684e2992420&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBCcARl2_LdC-qMVfAJQtFTcYhMUKrdQsAi3hZ7yKI5Eg&oe=67B8418A&_nc_sid=d885a2,1600.0,Btzbj_UAq-9,2019,2
Savings in bloom.,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-15/10326611_888365267873200_220306068_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2AH-UfKwVq0zPob1l9wgNfa0neez-1A0Ne7XCCtFkH0DvgkJE0aQOB7bxwGgRwYnbwk0RK1o7ObSnHKcNq7wJl1_&_nc_ohc=xTc2mFh1R_8Q7kNvgGYcBZg&_nc_gid=241c0f51824a4e0b94d78339de34629e&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYB1xO67k-8djIwI3pXxDrU8kM9izQQS_vxJm8Wa7dAquQ&oe=67B84858&_nc_sid=d885a2,467.0,1QjT2CwrMq,2015,4
Boost your antioxidants with this #CostcoFind. 💜 Save $3 through 8/29/21.  Available in warehouses: Sambazon Organic Açai Superfruit Juice,https://scontent-hou1-1.cdninstagram.com/v/t51.29350-15/240465694_618481496205120_2047269323199512043_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2AHIeVD9TmVDWppeS9n_v2g1XJohz385jOqzDsLM4xSnGOL_ot-rXl2YKwy7F8WljF0&_nc_ohc=aL_v2Hpzx1IQ7kNvgF9MZs-&_nc_gid=3c0471e6a12d442f9927c9b33d874224&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDu_a-5egqbnz_IcWOkSfzNvuTy3xKQulJ-JoP3jsBEfQ&oe=67B84CEA&_nc_sid=d885a2,1500.0,CS74nv4Fzbr,2021,8
🍕+ 🍬 = ❤️,https://instagram.fsxm1-1.fna.fbcdn.net/v/t51.2885-15/43411663_275412036426609_8609267292021515535_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fsxm1-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2AFFu8Q4veK-wWL8FjKinvn-rtFYAvQYsn3sQrxLnrQry8JcyrCw_H-FQcPH4NrVkW4&_nc_ohc=MPTsp4NoHO0Q7kNvgHEtis5&_nc_gid=e787b39a684243f4b96b3552406bca35&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYAD0Yqpj6l75YZ6sU96ca5JVzbyp37m4FnWAHGXEs3cag&oe=67B84F0F&_nc_sid=d885a2,4039.0,BpQR0OJgb4P,2018,10
