post_title,post_url,likes,post_year,post_month,comment_body,comment_likes,comment_year,comment_month,source,place,review_count,helpful_votes,date_exp,month_exp,year_exp
Wanted refund on installation,https://www.sitejabber.com/reviews/costco.com#2598,0,2025,January,Costco would not install oven (installer feigned some problem) had to have it hired to be done by friend. Said he would do it for free unless we could get reimbursed. There was no problem with installation for professional. Costco would not refund money because it was done for free and we were trying to get reimbursed 'retroactively'. I told him I would get an invoice. Said what I was doing was fraud- told me the call was being recorded- about 15 times. So- trying to get the installer paid was fraud? So- my revenge- I want to get the word out that anyone having to have oven installed that you bought at Costco- they will reimburse up to $200- so tell your installer to charge you that!,"Date of experience: January 26, 2025",2025.0,January,sitejabber,Kansas,1,0,2025-01-26,January,2025.0
"First soup was great, scond was really really bad",https://www.sitejabber.com/reviews/costco.com#2599,0,2025,February,Costco has some of the best products and I am there every week. I picked up some Creamy Chicken Rice soup Gluten Free last couple of month that was a absolutely great and I wanted to serve it at a party. I went back to pick up some more and they had a Gluten Free Chicken soup which I had to buy to serve. Everyone including me thought it was so so bad that we threw away. When you have something that is great why would you put something that bad in place of it.,"Date of experience: January 30, 2025",2025.0,January,sitejabber,New York,1,0,2025-01-30,January,2025.0
Costco calls cops on gold buyer,https://www.sitejabber.com/reviews/costco.com#2592,0,2024,September,"Wanted a refund on my membership that is a 100% guarantee and was denied. The staff walked away from me after harassing me to sign a form and called the cops.
Costco then tells my purchases to the police so that it stays in a police report that anyone can view now
Melissa Osgood decided to state to the cops that I was verbally abusing her at the Roseville Michigan store. The video recording does not have any verbal abuse
I was only trespassed for not signing a form. Melissa Osgood trespassed me for not signing a form
They denied me a tire warranty service after I got a screw in my tire.
Omar Nezami the guy who gloats they pay him so well he can flat out buy a Mercedes offers me $200. It's great to know they pay him so well but offer me petty change after using the cops as a weapon on me.
I only wonder if telling the police I was a Hispanic creating a disturbance was only to try and get a faster response. Really odd to have 6 cops to come so fast
IF YOU BUY GOLD HERE BEWARE AS THEY TOLD 2 GOVERNMENT AGENCIES THAT I DID","Date of experience: September 9, 2024",2024.0,September,sitejabber,Michigan,2,35,2024-09-09,September,2024.0
Costly Delivery Dilemma,https://www.sitejabber.com/reviews/costco.com#2574,0,2024,April,"Costco's delivery service left me feeling cheated and frustrated. Despite paying extra for expedited shipping, my order arrived a week later than promised. Attempts to seek assistance from customer service were met with long wait times and vague responses. If you're looking for reliable delivery, Costco isn't the answer.","Date of experience: April 26, 2024",2024.0,April,sitejabber,Armenia,27,11,2024-04-26,April,2024.0
A Shopper's Paradise at Costco,https://www.sitejabber.com/reviews/costco.com#2571,0,2024,April,"Shopping at Costco is always a delight, thanks to its unbeatable selection, quality products, and fantastic value. Whether I'm stocking up on pantry essentials, shopping for electronics, or browsing through the latest deals, Costco never fails to impress. The warehouse format allows me to explore a wide range of products under one roof, while the bulk packaging ensures that I get more bang for my buck. I appreciate Costco's commitment to offering high-quality brands and its focus on customer satisfaction, as evidenced by its generous return policy and excellent customer service. With affordable prices and a treasure trove of goodies, Costco has become my go-to destination for all my shopping needs.","Date of experience: April 22, 2024",2024.0,April,sitejabber,Armenia,28,0,2024-04-22,April,2024.0
Sam's is Superior to Costco,https://www.sitejabber.com/reviews/costco.com#2577,0,2024,April,"I no longer believe Costco is superior to Sam's. I was initially thrilled when Costco opened a store near my location, but my excitement was short-lived as I discovered a few things. Firstly, Costco's website is horrible! It has to be one of the worst, if not the worst, websites I've ever encountered. It is not user-friendly at all. Secondly, Costco does not have self-check-out like Sam's. In fact, I can use my phone to scan my items without getting in the self-checkout line. And lastly, and maybe most importantly, Sam's is less expensive than Costco.","Date of experience: April 30, 2024",2024.0,April,sitejabber,Maryland,4,16,2024-04-30,April,2024.0
Shameful,https://www.sitejabber.com/reviews/costco.com#2547,0,2024,March,"Left front door OPEN, lights on, and snuck away so they didn't have to install or haul away. Absolutely disgusting company practice! Taking advantage of less fortunate family's. Costco refused to refund my money since I'm doing the haul away and the install myself with help from the neighbor.",,,,sitejabber,Colorado,1,0,,,
Racism,https://www.sitejabber.com/reviews/costco.com#2586,0,2024,May,"The branch manager is the problem at this location. Today I experienced an example of blatant racism. It was raining and I decided to get a piece of pizza on my way out. A black man was in front of me and ordered a piece of pizza and ice cream. I am caucasian. He asked the clerk for a top for his ice cream 3 times. The clerk was 2 feet away and it was obvious he heard him, but he ignored him. I told the man my order was coming up and I would get him a top. The clerk called my number. I stepped up and said, ""first get this gentleman a top for his ice cream"". The clerk glared at me, grabbed a top and slid it across the counter to the man. He left my pizza where it was and I had to reach to get it. This isn't my first bad experience at this Costco.","Date of experience: May 23, 2024",2024.0,May,sitejabber,Tennessee,2,1,2024-05-23,May,2024.0
Well,https://www.sitejabber.com/reviews/costco.com#2559,0,2024,March,"I've had consistently positive experiences with the Costco Pharmacy. The pharmacists are knowledgeable and attentive, and the prescription fill times are usually fast, even during peak hours. I appreciate the convenience of being able to refill prescriptions online or via the Costco app. Plus, the prices for medications are often significantly lower compared to other pharmacies, making Costco my pharmacy of choice.","Date of experience: March 28, 2024",2024.0,March,sitejabber,Armenia,7,1,2024-03-28,March,2024.0
Costco Bakery,https://www.sitejabber.com/reviews/costco.com#2556,0,2024,March,"The Costco Bakery never disappoints with its delicious and affordable baked goods. Whether it's their famous sheet cakes, fresh bread, or decadent pastries, everything is made with high-quality ingredients and baked to perfection. The prices are unbeatable, and the portions are generous. I always make sure to pick up something from the Costco Bakery during my shopping trips.","Date of experience: March 28, 2024",2024.0,March,sitejabber,Armenia,12,1,2024-03-28,March,2024.0
No longer accepts Mastercard?,https://www.sitejabber.com/reviews/costco.com#2538,0,2024,March,"Not quite sure when Costco did this as I had always use my debit card to pay. Attempted to check out online for a pick up and card was declined. However, there's a hold on my bank account. Again, attempted to check out and card was declined with another hold on my bank account. What's going on Costco? You don't take MasterCard, but for some reason you can put a hold on my account for seven days. I really question that logic. Will be cancelling my membership after this!","Date of experience: March 2, 2024",2024.0,March,sitejabber,Kentucky,5,2,2024-03-02,March,2024.0
I've had excellent experiences with the Costco Tire Center.,https://www.sitejabber.com/reviews/costco.com#2562,0,2024,March,"I've had excellent experiences with the Costco Tire Center. The prices are unbeatable, especially considering the quality of tires and the included services like installation, rotation, and balancing. The staff are knowledgeable and efficient, and the wait times are usually minimal. Plus, the warranty and satisfaction guarantee provide added peace of mind.","Date of experience: March 29, 2024",2024.0,March,sitejabber,Armenia,15,2,2024-03-29,March,2024.0
Frustrated with Costco,https://www.sitejabber.com/reviews/costco.com#2541,0,2024,March,"When I went to check out in the scan your own, someone ran my items for me. What is self check out if someone does it for you. You have to show your card to enter the store, show your card to enter check out lanes, scan your card before you can check out. You can't even pay with a different card even if you have someone with you who wants to gift you items, they tell you to figure it out later. When you leave the store you have to show your receipt and someone literally counts the numbers of items in your card. This was way too much. You can't get in or out without so many uses of showing your card so why have to have every item in your cart counted. There is no place to get more items once you go through the registers. Costco is way over the top on how they handle these matters. Even though I paid for a membership I will never go and shop there again.","Date of experience: March 5, 2024",2024.0,March,sitejabber,Florida,1,1,2024-03-05,March,2024.0
Garbage Pharmacy,https://www.sitejabber.com/reviews/costco.com#2529,0,2024,February,"They must have a different hiring criteria for the pharmacy. They are RUDE. I had a script transferred to them. Kept telling me, after hours, that they had not received the script. I kept calling the doctor that was sending the script and they faxed it repeatedly. THEY, not COSTCO, finally called the pharmacy. Their fax machine wasn't working. Then they failed to text me that the script was ready after 6 hours. I really could used that inhaler since I have pneumonia. They just shrugged.","Date of experience: February 24, 2024",2024.0,February,sitejabber,Washington,1,0,2024-02-24,February,2024.0
Nightmare. Costco.com.,https://www.sitejabber.com/reviews/costco.com#2532,0,2024,February,"So far three orders completed online with Costco have been nightmares. First order received with somebody else's order and not mine so my time on returning the order to my local Costco store. Second order, I was unable to return it from Costco as Costco indicated I ordered from Cosco next, and they could not help me and the merchant that I ordered from indicated, my order was not returnable even though the website indicated it was returnable, third order received defective products and again my local Costco store would not assist me and now I'm having to wait four more weeks for a replacement product from costco.com Extremely unhappy with the service that Costco claims that they will provide to me as a member, but they continuously fail to show any true consumer satisfaction.","Date of experience: February 25, 2024",2024.0,February,sitejabber,Nevada,1,0,2024-02-25,February,2024.0
"An awesome, understanding, and caring team to work with",https://www.sitejabber.com/reviews/costco.com#2535,0,2024,February,"Purchased a new Sony OLED TV. Loved the TV however... after a period of time it began freezing the picture to the point in required unplugging. After 2 factory resets sonys support got involved. There is where it all turned ""sour"" to put it lightly. They blamed it on my ""internet?"" then stated it would not be covered. How ironic... No service tech, nothing. Just a person a half a world away telling me it's my internet.
After 2 days I finally contacted the Costco's team where I originally purchased my TV and they immediately took charge. Today I ordered a new TV. Definately not a sony... EVER! From Costco of coarse!
I want to give a huge shootout to the Costco Nampa management team for they're diligence and help.","Date of experience: February 27, 2024",2024.0,February,sitejabber,Idaho,3,1,2024-02-27,February,2024.0
Costco is going down hill!,https://www.sitejabber.com/reviews/costco.com#2475,0,2024,January,"A once great company has now gone to s**t! Product quality is not what it was, prices are not much cheaper than retail, check out lines are long, stores are overcrowded, customer service has dropped. I have had a executive membership.for 15+ years. At this point its not worth renewing. Feeling ripped off. Seems like Costco gives membership for very little to anyone these days and letting illegal citizens in to access membership privileges. I'll be switching to Amazon prime and Walmart +.",,,,sitejabber,Pennsylvania,2,1,,,
Their online customer service sucks,https://www.sitejabber.com/reviews/costco.com#2149,0,2023,July,No way to send an email. Cannot converse through twitter. Cannot post messages on facebook. The chat function is only a virtual assistant. No thought about the customer? Online customer service is so much worse than any other similar sized company. I am sure they have not compared themselves to other companies. We purchased a 4 pound jar of animal crackers and could not unscrew the top. Four different adults tried – unsuccessfully.,,,,sitejabber,Colorado,1,4,,,
OWNED BY CHINA,https://www.sitejabber.com/reviews/costco.com#1386,0,2021,May,"It's stores like this one and her sisters Walmart and sams club that have destroyed businesses and ruined any kind of ""fair business"" forcing you to shop there if you want a lower price. So mom and pop stores have to raise prices. Communist China, haters of God have their grimy paws all over this store. And go figure... this is the only store that's still on a power trip about putting my little nose in my mask! How stupid! But hey it's China! Don't shop at the China Overseas Trading Company! That is what Costco stands for, Don't shop there","Date of experience: May 15, 2021",2021.0,May,sitejabber,Alabama,1,9,2021-05-15,May,2021.0
I Love Costco,https://www.sitejabber.com/reviews/costco.com#2209,0,2023,July,So my first time ever going to a Costco was with my wife and I immediately fell in love. If you are a family of two or more this is definitely the place you should be shopping. We typically go once or twice a month and we get all the essentials. The prices are great and the products are quality. We decided to upgrade our membership to the executive membership and the card literally pays for itself. Picture here is me Jeremy getting on the plan with my wife because I love it and may need to come without her sometimes. This card and membership is a must have. Side note: this was the best picture taken that day. Lol,,,,sitejabber,Georgia,1,2,,,
Wanted refund on installation,https://www.sitejabber.com/reviews/costco.com#2598,0,2025,January,Costco would not install oven (installer feigned some problem) had to have it hired to be done by friend. Said he would do it for free unless we could get reimbursed. There was no problem with installation for professional. Costco would not refund money because it was done for free and we were trying to get reimbursed 'retroactively'. I told him I would get an invoice. Said what I was doing was fraud- told me the call was being recorded- about 15 times. So- trying to get the installer paid was fraud? So- my revenge- I want to get the word out that anyone having to have oven installed that you bought at Costco- they will reimburse up to $200- so tell your installer to charge you that!,"Date of experience: January 26, 2025",2025.0,January,sitejabber,Kansas,1,0,2025-01-26,January,2025.0
