ID,Name,Handle,TweetText,TweetCreateTime,TweetURL,ReplyCount,QuoteCount,RetweetCount,LikeCount,BookmarkCount,Views,AllImageURL,VideoURL,Bio,CanDM,AccountCreateDate,Location,FollowersCount,FollowingCount,TotalFavouritesByUser,MediaCount,ProfileBannerURL,ProfileURL,AvatarURL,PostCount,Verified,IsBlueVerified
1736979788097880086,Costco Insider,@Costco_Insider,"The January 2024 Costco Coupon Book is here! https://t.co/FkuDlE9Sf3 Is this the best coupon book of the year? That's what they're saying... With the new year almost here and everyone ready to start their new diets and health and exercise routines, @DrinkOrgain  Protein is on",2023-12-18 21:20:27,https://x.com/Costco_Insider/status/1736979788097880086,9,0,0,6,2,5298,,,"All the deals and coupons available at Costco as well as insider information about upcoming changes, products, and other tips to become an expert Costco shopper",false,2010-06-29 16:06:46,United States,10778,12,13,59,https://pbs.twimg.com/profile_banners/161079363/1549570519,https://x.com/Costco_Insider,https://pbs.twimg.com/profile_images/1079222232/Paper-Hole1_normal.gif,431,false,true
1738632831859896365,Susan krimer,@susan_krimer,"@Costco_Insider @DrinkOrgain Warning! There is a billing scam at Costco in their grocery delivery system. They charged me (6 different times) for expensive booze I never ordered and never received.If you get delivery from Costco LOOK CAREFULLY at your bill.
.",2023-12-23 10:49:04,https://x.com/susan_krimer/status/1738632831859896365,0,0,1,3,1,116,,,,false,2012-12-16 08:24:26,,41,1006,303,1,,https://x.com/susan_krimer,https://pbs.twimg.com/profile_images/456534212644831232/P6Lqdbuk_normal.jpeg,742,false,false
1739516242849886217,josh,@ncsu2008,@Costco_Insider @DrinkOrgain I bet fairlife nutrition plan at 30g protein tastes better and close to same price but costco mysteriously hasn’t had in stock for months,2023-12-25 21:19:25,https://x.com/ncsu2008/status/1739516242849886217,0,0,0,1,0,179,,,,false,2009-09-29 18:49:31,"Lewisville, TX",52,192,24,68,,https://x.com/ncsu2008,https://pbs.twimg.com/profile_images/444114561/me_normal.jpg,1224,false,false
1742903388151464388,Someone in America,@MissElizabethA,"@Costco_Insider @DrinkOrgain You think @Costco should carry @kingarthurflour since they EXCLUDE WHITE PEOPLE from a baking contest solely because they were BORN with WHITE SKIN &amp; it is beyond their control?

YOU WANT TO DIVIDE US THROUGH BAKING?  LOW-LIFE LOSERS.

https://t.co/SzrxPknpdm",2024-01-04 05:38:43,https://x.com/MissElizabethA/status/1742903388151464388,0,0,0,0,0,47,,,Older with better insurance,false,2009-08-02 20:50:58,,500,994,26026,1425,https://pbs.twimg.com/profile_banners/62429320/1548618370,https://x.com/MissElizabethA,https://pbs.twimg.com/profile_images/1220338828793335809/_bLZxx4t_normal.jpg,23772,false,false
1740442894090268731,Jason Moss,@JMoss293axe,@Costco_Insider @DrinkOrgain https://t.co/nd8ywrxLnf,2023-12-28 10:41:36,https://x.com/JMoss293axe/status/1740442894090268731,0,0,0,0,0,23,,,,false,2023-01-19 08:33:19,,101,226,15020,136,https://pbs.twimg.com/profile_banners/1616111028521283584/1687284514,https://x.com/JMoss293axe,https://pbs.twimg.com/profile_images/1671211383390883840/ikFmu4Az_normal.jpg,3204,false,false
1741136335254257898,Sergio Silva,@silvadearmonia,@Costco_Insider @DrinkOrgain COSTCO! para cuando Panaderia Costco en Mexico?!  (Minimo en Tijuana y Mexicali como evaluacion de negocio). - COSTCO! When the bakery Costco?! (Try it at least in Tijuana and Mexicali like a new bussines).,2023-12-30 08:37:05,https://x.com/silvadearmonia/status/1741136335254257898,0,0,0,1,0,95,,,,false,2014-12-20 08:01:51,"Mexicali, Baja California",10,118,18,6,https://pbs.twimg.com/profile_banners/2937240192/1730384126,https://x.com/silvadearmonia,https://pbs.twimg.com/profile_images/1676285707805925384/OyJxMpqI_normal.jpg,9,false,false
1737862052486549694,Pat Cannoni,@AskEGold,@Costco_Insider @DrinkOrgain What is this strange grouth coming out of your bananas.. is it healthy to ingest.. I'm getting stomach aches after I eat one https://t.co/4Ci1TWAeCq,2023-12-21 07:46:15,https://x.com/AskEGold/status/1737862052486549694,0,0,0,0,0,22,https://pbs.twimg.com/media/GB4gU4lWIAAmbaz.jpg,,Lets get this party started,false,2013-11-14 05:44:18,,3,25,9,38,,https://x.com/AskEGold,https://pbs.twimg.com/profile_images/378800000738906974/f7aa25366c8bb92e972a5fe795e9e47f_normal.jpeg,513,false,false
1741090009510211911,Dividends = Wealth,@Dividendwealth1,@Costco_Insider @DrinkOrgain https://t.co/295nYf4StA,2023-12-30 05:33:00,https://x.com/Dividendwealth1/status/1741090009510211911,0,0,0,0,0,7,,,,false,2022-10-16 07:10:20,United States,161,392,15597,3045,https://pbs.twimg.com/profile_banners/1581648696890064896/1674237835,https://x.com/Dividendwealth1,https://pbs.twimg.com/profile_images/1680694537977581569/OuN3ggyq_normal.jpg,10841,false,false
1740542847617814869,Esquire,@ainjibi,@Costco_Insider @DrinkOrgain https://t.co/LHW7JJjmPG,2023-12-28 17:18:47,https://x.com/ainjibi/status/1740542847617814869,0,0,0,0,0,13,,,"Activist,Attorney, Mom,foreign service brat.Irreverent towards all.Protect our kids.Stop the fire in the name of religion. Strongly anti- Z1on1stNaz1s",false,2013-02-18 00:55:20,"USA, Turkey",698,205,18900,2551,https://pbs.twimg.com/profile_banners/1192536085/1688833892,https://x.com/ainjibi,https://pbs.twimg.com/profile_images/1854107599890939904/1gol5DZS_normal.jpg,17657,false,false
1808858540477722947,NOBODYLIVESONEARTHEVERYHUMANISOFFICIALLYEXTINCTNOW,@NOHUMANWASALIVE,@Costco_Insider @DrinkOrgain EVERYBODY KNOWS THAT ALL OF THEM ARE FIRED FOREVER AND EVER ALL COMPANIES AND CORPORATIONS ARE CLOSED FOREVER ALL OF THEM ARE FIRED FOREVER AND EVER ALL OF THEM ARE FIRED FOREVER AND EVER ALL OF THEM ARE FIRED FOREVER AND EVER ALL OF THEM ARE FIRED FOREVER AND EVER!!!!,2024-07-04 06:40:57,https://x.com/NOHUMANWASALIVE/status/1808858540477722947,0,0,0,0,0,-,,,,false,2023-11-26 15:11:51,,45,42,14,7090,,https://x.com/NOHUMANWASALIVE,https://pbs.twimg.com/profile_images/1728914863018418176/crDTPJpe_normal.jpg,31809,false,false
