ID,Name,Handle,TweetText,TweetCreateTime,TweetURL,ReplyCount,QuoteCount,RetweetCount,LikeCount,BookmarkCount,Views,AllImageURL,VideoURL,Bio,CanDM,AccountCreateDate,Location,FollowersCount,FollowingCount,TotalFavouritesByUser,MediaCount,ProfileBannerURL,ProfileURL,AvatarURL,PostCount,Verified,IsBlueVerified
1787664409537736750,Costco Insider,@Costco_Insider,"The May Costco Coupon Book is here! https://t.co/uCbXimCFAC Summer items, food items, and more! What do you think of this months deals?

#costco #costcoinsider #costcobuys #costcocouponbook #costcocoupons #costcosavingsbook #costcodeals #costcoshopping",2024-05-06 19:03:03,https://x.com/Costco_Insider/status/1787664409537736750,20,1,0,8,1,4824,,,"All the deals and coupons available at Costco as well as insider information about upcoming changes, products, and other tips to become an expert Costco shopper",false,2010-06-29 16:06:46,United States,10779,12,13,59,https://pbs.twimg.com/profile_banners/161079363/1549570519,https://x.com/Costco_Insider,https://pbs.twimg.com/profile_images/1079222232/Paper-Hole1_normal.gif,431,false,true
1789750127415919001,Reclusive Prophet,@zellubi,@Costco_Insider Is there any business that goes further than Costco when it comes to discriminating against consumers? The feeling of going to Costco to buy is getting worse and worse. https://t.co/Q7vi4aFeTS,2024-05-12 13:10:56,https://x.com/zellubi/status/1789750127415919001,0,0,0,0,0,50,https://pbs.twimg.com/media/GNZ4Lf0WsAARcU1.jpg,,The most important thing is freedom and love.,true,2016-09-26 20:01:28,Florida,146,1079,95,21,https://pbs.twimg.com/profile_banners/780603234209542144/1570289453,https://x.com/zellubi,https://pbs.twimg.com/profile_images/1836423824239136768/Pmn2KOfg_normal.jpg,39,false,false
1787674811986276693,Dr. kas,@AlaskaSane,@Costco_Insider This is insulting because it is full of pop up ads!,2024-05-06 19:44:23,https://x.com/AlaskaSane/status/1787674811986276693,0,0,0,0,0,129,,,Alaskan homesteader with a PhD. Sharing  25 years of photos from home & work in rural Alaska hubs & villages.,true,2009-12-17 02:29:30,"Fairbanks, AK",79,150,464,20,https://pbs.twimg.com/profile_banners/97412909/1733789501,https://x.com/AlaskaSane,https://pbs.twimg.com/profile_images/1841486868971728896/ziJZVgig_normal.jpg,243,false,true
1790394326314283079,TAB78,@SamKnows7,"@Costco_Insider @Costco let me ask this question, why is when I use your app or browse on the web, I cannot tell if the item I am looking at is in stock or should be in stock at the club I have selected as my club??

Although not always 100% accurate, most large chains and warehouse apps U can",2024-05-14 07:50:45,https://x.com/SamKnows7/status/1790394326314283079,0,0,0,0,0,47,,,"Investor / Stock Trader, Conservative I tweet only facts & My Personal Opinions based on Facts, Logic & my own personal analysis. I am not a financial advisor.",true,2019-01-27 13:17:04,,232,137,9235,1367,https://pbs.twimg.com/profile_banners/1089633413219450880/1581600158,https://x.com/SamKnows7,https://pbs.twimg.com/profile_images/1227947303425728512/guw9KRVP_normal.jpg,15529,false,false
1811637734429049286,Thomas Ackerley,@ThomasAckerley2,"@Costco_Insider Sorry, Costco I hear you’re raising your fees for a membership. unfortunately everybody’s raising the fees of everything but our pay I will no longer be renewing my membership",2024-07-11 22:44:29,https://x.com/ThomasAckerley2/status/1811637734429049286,0,0,0,0,0,15,,,,false,2021-11-06 21:05:43,,3,59,77,1,,https://x.com/ThomasAckerley2,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,164,false,false
1790509150834684043,Jamie Girl,@Jamie29036,@Costco_Insider Why can’t Costco go back to opening early like during Covid??? I’ve never seen anything so busy in my life.,2024-05-14 15:27:02,https://x.com/Jamie29036/status/1790509150834684043,0,0,0,0,0,51,,,"Freedom, Faith, Family. 100% Anti-WEF. Close the Borders. Ban DEI & ESG. Fighting back against the anti-American rhetoric one Neo-Marxist at a time. 💯🇺🇸",true,2022-10-25 13:17:52,"South Carolina, USA",2330,2510,110468,2192,https://pbs.twimg.com/profile_banners/1585002663795630081/1693937400,https://x.com/Jamie29036,https://pbs.twimg.com/profile_images/1874842813667368960/kWReRxVy_normal.jpg,31193,false,true
1798827910180323697,Barbara  Griffith,@barbara718344,@Costco_Insider Please don't stop selling books at your store! We need them all year round! Holiday time is not enough! Please reconsider!😟😟,2024-06-06 14:22:49,https://x.com/barbara718344/status/1798827910180323697,0,0,0,0,0,9,,,,false,2015-09-03 06:40:29,,1393,3646,20660,0,,https://x.com/barbara718344,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,5748,false,false
1795959438454525976,Julius Marx,@juliusmarx218,"@Costco_Insider @Costco
This idiot is LUCAS. He pumps gas for a living. The education level of a gas jockey is middle school. They never received a high school diploma https://t.co/rKd4b80fx5",2024-05-29 16:24:32,https://x.com/juliusmarx218/status/1795959438454525976,0,0,0,0,0,6,,,,false,2023-09-14 13:36:35,,7,13,449,3812,,https://x.com/juliusmarx218,https://pbs.twimg.com/profile_images/1702421401167392768/TdUPIQZX_normal.jpg,4358,false,false
1789752683244441833,Reclusive Prophet,@zellubi,"@Costco_Insider If you are Asian, do not buy the Costco membership. Otherwise, you will be discriminated against. There are plenty of good merchants to choose from in the US! https://t.co/pAeSZbRqQv",2024-05-12 13:21:06,https://x.com/zellubi/status/1789752683244441833,1,0,0,0,0,14,https://pbs.twimg.com/media/GNZ6ShPWcAEUKIN.jpg,,The most important thing is freedom and love.,true,2016-09-26 20:01:28,Florida,146,1079,95,21,https://pbs.twimg.com/profile_banners/780603234209542144/1570289453,https://x.com/zellubi,https://pbs.twimg.com/profile_images/1836423824239136768/Pmn2KOfg_normal.jpg,39,false,false
1797298976393212127,AW,@Resistdugford,"@Costco_Insider Spotted in Barrie, ON Canada today 🤪 #TrumpGuiltyOnAllCounts https://t.co/LO28luaa7Y",2024-06-02 09:07:22,https://x.com/Resistdugford/status/1797298976393212127,0,0,0,0,0,82,https://pbs.twimg.com/media/GPFJ0k3WMAAX65Z.jpg,,"Cis. Parent. She/her
""Our lives begin to end the day we become silent about things that matter” MLK",false,2019-03-12 05:41:43,"🇨🇦 ",130,538,52157,123,https://pbs.twimg.com/profile_banners/1105448786233417728/1602077562,https://x.com/Resistdugford,https://pbs.twimg.com/profile_images/1108711097308188674/8HTCHNTx_normal.jpg,5976,false,false
