short_code,caption,likes,post_year,post_month,comments,comment_like,reply_count,comment_year,comment_month
DFWSOIZSO6q,🍊 Citrus trees at Costco! I love them!! 🍋,53215,2025,1,Can they be grown indoors?,26,7,2025,2
DFWSOIZSO6q,🍊 Citrus trees at Costco! I love them!! 🍋,53215,2025,1,And your local nursery’s have them all year round for cheaper. Support small biz,2890,54,2025,1
DFWSOIZSO6q,🍊 Citrus trees at Costco! I love them!! 🍋,53215,2025,1,Plant them next to each other. They’ll cross pollinate if you’re lucky and you’ll get the biggest sweetest lemons!,1120,12,2025,1
DFWSOIZSO6q,🍊 Citrus trees at Costco! I love them!! 🍋,53215,2025,1,I buy buy from local nurseries all the time. But I have not seen this size for $99 plus fruits hanging in them; this is actually a good deal,1,0,2025,2
DFWSOIZSO6q,🍊 Citrus trees at Costco! I love them!! 🍋,53215,2025,1,I had to help pollination of my lemon tree. It’s got some kind of pest one year and died. Broke my heart. I had it for about 6 years!  Hopefully my Costco has them!,22,5,2025,1
DFWSOIZSO6q,🍊 Citrus trees at Costco! I love them!! 🍋,53215,2025,1,Wow! The fruit is huge! Is this in a California or Florida Costco?,9,2,2025,1
DFWSOIZSO6q,🍊 Citrus trees at Costco! I love them!! 🍋,53215,2025,1,"My lemon tree is GIANT!! Need a Firetruck ladder to trim it 😆 Used to get 2 crops a year, until we had it ‘professionally’ trimmed. We still get tons of lemons.  Our Costco  tree is 8 yrs old",403,19,2025,1
DFWSOIZSO6q,🍊 Citrus trees at Costco! I love them!! 🍋,53215,2025,1,How do you keep them alive in the winter 🥶? I live in Va,4,1,2025,2
DFWSOIZSO6q,🍊 Citrus trees at Costco! I love them!! 🍋,53215,2025,1,"I WANT two😍
Would they be ok staying inside the house???",0,1,2025,3
DFWSOIZSO6q,🍊 Citrus trees at Costco! I love them!! 🍋,53215,2025,1,So cool,8,0,2025,1
DFWSOIZSO6q,🍊 Citrus trees at Costco! I love them!! 🍋,53215,2025,1,"I have 3years with my key lime and lemon trees in chicago..what you want todo is buy large plastic pots(easy to move) and by winter you move them in doors, I have them in my garage with a grow light(light watering). Just bring them outside  at springtime.",0,1,2025,4
DFWSOIZSO6q,🍊 Citrus trees at Costco! I love them!! 🍋,53215,2025,1,We only got the smaller trees which were 29.99. I wish my Costco sold these larger trees.,1,0,2025,2
DFWSOIZSO6q,🍊 Citrus trees at Costco! I love them!! 🍋,53215,2025,1,"Yall are clueless, yes you can get cheaper trees but they won’t be producing fruit anytime soon. If these are producing, that means they are at least 5 years old already and that’s why the cost more than your local nursery who has the same size trees but are like 2-3 years old. They will cost half but won’t produce for another 2-3 years. Thats where the cost comes from. They’ve baby sat them longer hence the name…….nursery. Yall just be talking and don’t know the first thing about horticulture.",385,7,2025,2
DFWSOIZSO6q,🍊 Citrus trees at Costco! I love them!! 🍋,53215,2025,1,Dang that’s expensive. Definitely check the price at your local nursery first. I know mine are at least half that price.,245,2,2025,1
