post_urls,short_code,comments,comment_like,reply_count,comment_year,comment_month
https://www.instagram.com/p/DAwAmUUOgob/,DAwAmUUOgob,We got my son his!  He was so excited!,3,1,2024,10
https://www.instagram.com/p/DAwAmUUOgob/,DAwAmUUOgob,just saw it today in Los Feliz. it looks really cool for the kids. $100 tho,11,2,2024,10
https://www.instagram.com/p/DAwAmUUOgob/,DAwAmUUOgob,Love this!,2,0,2024,10
https://www.instagram.com/p/DAwAmUUOgob/,DAwAmUUOgob,Does the backpack have a strap to hook over the luggage handle?,0,0,2024,10
https://www.instagram.com/p/DAwAmUUOgob/,DAwAmUUOgob,Which Costco?? Canada?,3,2,2024,10
https://www.instagram.com/p/DAwAmUUOgob/,DAwAmUUOgob,Where is this Costco?!?! Has way more stuff than mine😢,0,0,2024,10
https://www.instagram.com/p/DAwAmUUOgob/,DAwAmUUOgob,And this would be super easy to spot at baggage claim or fit in the overhead bin!! ✈️,13,3,2024,10
https://www.instagram.com/p/DAwAmUUOgob/,DAwAmUUOgob,They told me it’s only online 😩,0,1,2024,10
https://www.instagram.com/p/DAwAmUUOgob/,DAwAmUUOgob,Does it come in more colors ?,0,0,2024,10
https://www.instagram.com/p/DAwAmUUOgob/,DAwAmUUOgob,Just got two!!! Thank you!!!!,0,0,2024,10
https://www.instagram.com/p/DAwAmUUOgob/,DAwAmUUOgob,donde se pueden comprar ... cual costco la venden ?,0,0,2024,10
https://www.instagram.com/p/DAwAmUUOgob/,DAwAmUUOgob,Neither of my costco’s have them 😭,1,0,2024,10
https://www.instagram.com/p/DAwAmUUOgob/,DAwAmUUOgob,Si está en Costco hijo,1,0,2024,10
https://www.instagram.com/p/DAwAmUUOgob/,DAwAmUUOgob,❤️❤️,0,0,2024,10
https://www.instagram.com/p/DAwAmUUOgob/,DAwAmUUOgob,@ashleyelliottatx for Ricky,0,0,2024,10
https://www.instagram.com/p/DAresKuBXHM/,DAresKuBXHM,Perfect for parties!!,4,1,2024,10
https://www.instagram.com/p/DAresKuBXHM/,DAresKuBXHM,I need it 😍,4,0,2024,10
https://www.instagram.com/p/DAresKuBXHM/,DAresKuBXHM,Good for sunday football,2,0,2024,10
https://www.instagram.com/p/DAresKuBXHM/,DAresKuBXHM,Did it have baking instructions on the package?,3,3,2024,10
https://www.instagram.com/p/DAresKuBXHM/,DAresKuBXHM,"Instructions said to remove cover and bake in foil aluminum dish. Beware it’s not in an aluminum dish. I put it on a small sheet and covered. I baked for 45 min., meatballs were 200 degrees, cheese had cooked out and bread was a challenge to get off the sheet.  Flavor was great! I will try again, probably cook meatballs some ahead, then pop the whole thing in oven.",4,1,2024,10
https://www.instagram.com/p/DAresKuBXHM/,DAresKuBXHM,I want details on the pie below . . . Shepard's pie!? Or just mashed taters?,7,4,2024,10
https://www.instagram.com/p/DAresKuBXHM/,DAresKuBXHM,What Costco location was this found at?,2,2,2024,10
https://www.instagram.com/p/DAresKuBXHM/,DAresKuBXHM,I’ll have a chunk of that sandwich please!,5,0,2024,10
https://www.instagram.com/p/DAresKuBXHM/,DAresKuBXHM,Good idea but the bread didn't work for this. Ended up as basically a couple pieces of cheesy bread with a meatball and sauce lol,4,0,2024,10
https://www.instagram.com/p/DAresKuBXHM/,DAresKuBXHM,I did not like this at all. Pork meatballs were terrible with a worse after taste. I think it would’ve been much better if they would’ve used beef meatballs.,3,0,2024,10
https://www.instagram.com/p/DAresKuBXHM/,DAresKuBXHM,Is this in Canada yet!?,2,0,2024,10
https://www.instagram.com/p/DAresKuBXHM/,DAresKuBXHM,Could Costco make the “per pound” any smaller on these price signs?,6,0,2024,10
https://www.instagram.com/p/DAresKuBXHM/,DAresKuBXHM,Probably very average and under seasoned like all the other food in that area.,1,0,2024,10
https://www.instagram.com/p/DAresKuBXHM/,DAresKuBXHM,Only 23.99 😂,2,0,2024,10
