post_urls,short_code,comments,comment_like,reply_count,comment_year,comment_month
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,We got 4!  One for each baby so they could all enjoy. Can’t wait to open,3,2,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,Why is it $10 more online? 😢,0,1,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,Christmas came early!!,16,2,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,We got this last year and it’s the best one! We have done a few other brands we like Bark the best! We already got ours for this year a few weeks ago it’s my favorite Christmas tradition 🥰🐶,6,3,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,My dogs absolutely love this every year!,1,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,"Omg! Yes, please!",3,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,We bought it last year and the toys are adorable and my dog loved. But the treats?  No way would I feed those to my dog. An adorable shape of chemicals.  We threw them all away.,18,1,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,I bought them for my frenchie. Cutest toys inside!,5,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,I bought one a few years ago and kept it. We have refilled it every year since! Love it!!,18,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,I hope they have this in the Manhattan store 😢.,3,2,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,Our pup was obsessed last year! Definitely getting it again! It’s $10 cheaper in your video than what I’m seeing on my Costco app in Ohio!!,1,2,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,We didn't get them last year and we don't have them as of yet...North Miami Location,3,1,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,I saw it for $39.99 this week in Arizona.,3,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,Costco Canada? Or US? Whats the price,1,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,I wish @bark had a toy only calendar for pups who can’t eat the treats in this calendar 😭,6,2,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,Got to get one!!,1,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@pearlinebailey for meaty! Lol,1,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,How much was it where you are?,32,6,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,For Zoey @mollyjoyce02 !,0,1,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,Aww I have Great Danes too!!❤️❤️❤️,1,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@kait.dawn.gibbs,1,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@casey_1903 😍,1,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,This never comes to Canada. 😭,27,4,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@scottrobertson1976 @cchloerobertson @amyroberts0n,1,0,2024,10
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,Ugh I can never find them in CA!!,4,4,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@robb_23_  for your little brother?????,0,1,2024,10
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@melglenda let me know if you want for the doggies!,0,1,2024,10
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,Love the toys but I don’t trust the dog treats☹️,79,7,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@doitforvyplot I guess we can keep Aston until new year. Ima get him this for Christmas.,0,1,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@josiane.desrochers.01 😮😍,2,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@beastlikebruno I think you should tell your Mum & Dad about this 🎄,0,1,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,Is anyone else missing day 4?,0,1,2024,12
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@_jdn_1995  @stoopsyj,1,1,2024,10
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@jessica_daisy1,1,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@racho._.li we need another trip!,1,0,2024,10
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@alex.dougan,1,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@mattwilson344  @georgegemma,0,1,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@jillylou123,1,0,2024,10
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,These are only for very small dogs.,2,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,Yes we need to get these,1,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,No 🇨🇦😢,1,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@mcnurrrr1128 we need to get ASAP,1,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,"They don’t have them in our stores, but have been on the website for a little while. Got ours a few weeks ago! 🙌🏼",1,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@rulis24,1,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,😍😍,1,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,💕🐶🐾💕🐶🐾,2,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,I miss our last year but hopefully I can get one remind me next month,2,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,Definitely buying this for our baby!❤️,1,1,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@djuancho1,0,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,Mine didn't have them last year but I picked one up yesterday!,0,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,How much is it?,0,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,@grispgarcia spoiling my babies with these!!!,0,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,"So this is for little dogs, those toys look like a big dog would swallow it.",0,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,That's cute but the toys seem a little too small. I can see them being swallowed.,0,0,2024,9
https://www.instagram.com/p/DAZV0DoBekm/,DAZV0DoBekm,I bought it online for $49.99.  Wonder if the store will do a price adjustment,0,0,2024,9
